timestamp,dpid,port_no,rx_packets,rx_bytes,rx_errors,tx_packets,tx_bytes,tx_errors
1746869201.2381647,3,1,25853,4364206,0,30042,5097781,0
1746869201.2381647,3,2,26316,4356953,0,29743,5082751,0
1746869201.2381647,3,3,26288,4406403,0,29605,5049476,0
1746869201.2381647,3,4,26341,4396168,0,29385,5001076,0
1746869201.2381647,3,4294967294,0,0,0,0,0,0
1746869260.4067183,3,1,1558,181004,0,1748,200578,0
1746869260.4067183,3,2,1588,181200,0,1728,198770,0
1746869260.4067183,3,3,1571,180573,0,1733,200384,0
1746869260.4067183,3,4,1579,180723,0,1733,199453,0
1746869260.4067183,3,4294967294,0,0,0,0,0,0
1746869287.3776824,3,1,6585,764912,0,7405,855136,0
1746869287.3776824,3,2,6702,769180,0,7351,853453,0
1746869287.3776824,3,3,6633,765656,0,7359,852972,0
1746869287.3776824,3,4,6680,769532,0,7337,851465,0
1746869287.3776824,3,4294967294,0,0,0,0,0,0
1746869298.096315,3,1,11691,1344839,0,13136,1534513,0
1746869298.096315,3,2,11911,1357646,0,13058,1531153,0
1746869298.096315,3,3,11723,1346224,0,13112,1534682,0
1746869298.096315,3,4,11837,1354503,0,13076,1533020,0
1746869298.096315,3,4294967294,0,0,0,0,0,0
1746869307.8891408,3,1,16716,1922908,0,18784,2166178,0
1746869307.8891408,3,2,17007,1937659,0,18668,2161250,0
1746869307.8891408,3,3,16775,1925597,0,18743,2165821,0
1746869307.8891408,3,4,16969,1938388,0,18689,2161733,0
1746869307.8891408,3,4294967294,0,0,0,0,0,0
1746869317.986522,3,1,21682,2492578,0,24556,2823581,0
1746869317.986522,3,2,22091,2509287,0,24266,2800772,0
1746869317.986522,3,3,21817,2496620,0,24355,2803581,0
1746869317.986522,3,4,22047,2510422,0,24210,2790257,0
1746869317.986522,3,4294967294,0,0,0,0,0,0
1746869328.057041,3,1,26464,3033021,0,30136,3449051,0
1746869328.057041,3,2,27056,3062132,0,29811,3427024,0
1746869328.057041,3,3,26808,3075873,0,29875,3425842,0
1746869328.057041,3,4,27140,3091546,0,29579,3394055,0
1746869328.057041,3,4294967294,0,0,0,0,0,0
1746869337.9538095,3,1,31323,3589219,0,35927,4101378,0
1746869337.9538095,3,2,32286,3651704,0,35569,4078369,0
1746869337.9538095,3,3,32041,3663607,0,35562,4067746,0
1746869337.9538095,3,4,32494,3691636,0,35123,4022139,0
1746869337.9538095,3,4294967294,0,0,0,0,0,0
1746869348.6813734,3,1,36253,4154473,0,41718,4771507,0
1746869348.6813734,3,2,37403,4220477,0,41231,4737446,0
1746869348.6813734,3,3,37228,4246606,0,41169,4711810,0
1746869348.6813734,3,4,37736,4267591,0,40600,4650020,0
1746869348.6813734,3,4294967294,0,0,0,0,0,0
1746869359.3239555,3,1,41133,4715956,0,47527,5421013,0
1746869359.3239555,3,2,42488,4787371,0,46853,5369731,0
1746869359.3239555,3,3,42353,4832767,0,46733,5343211,0
1746869359.3239555,3,4,42926,4852005,0,46120,5276733,0
1746869359.3239555,3,4294967294,0,0,0,0,0,0
1746869369.6012855,3,1,45947,5269850,0,53208,6058391,0
1746869369.6012855,3,2,47523,5350307,0,52360,5995979,0
1746869369.6012855,3,3,47377,5394698,0,52219,5956457,0
1746869369.6012855,3,4,48098,5426505,0,51502,5886853,0
1746869369.6012855,3,4294967294,0,0,0,0,0,0
1746869380.0881848,3,1,50641,5795504,0,58820,6691571,0
1746869380.0881848,3,2,52511,5895235,0,57765,6609333,0
1746869380.0881848,3,3,52398,5953191,0,57610,6565525,0
1746869380.0881848,3,4,53214,5996066,0,56793,6486303,0
1746869380.0881848,3,4294967294,0,0,0,0,0,0
1746869390.7589743,3,1,55232,6307911,0,64197,7283307,0
1746869390.7589743,3,2,57464,6435598,0,63046,7193303,0
1746869390.7589743,3,3,57249,6485327,0,62848,7144674,0
1746869390.7589743,3,4,58242,6543716,0,62012,7062793,0
1746869390.7589743,3,4294967294,0,0,0,0,0,0
1746869401.9848585,3,1,59756,6810228,0,69559,7891815,0
1746869401.9848585,3,2,62362,6966819,0,68323,7795501,0
1746869401.9848585,3,3,62143,7015613,0,68077,7739551,0
1746869401.9848585,3,4,63077,7070754,0,67170,7653714,0
1746869401.9848585,3,4294967294,0,0,0,0,0,0
1746869412.3256,3,1,64110,7292190,0,74727,8448456,0
1746869412.3256,3,2,66991,7462181,0,73370,8341047,0
1746869412.3256,3,3,66858,7529220,0,73060,8280329,0
1746869412.3256,3,4,67843,7593114,0,72101,8187799,0
1746869412.3256,3,4294967294,0,0,0,0,0,0
1746869422.9123785,3,1,68491,7775434,0,79826,9008653,0
1746869422.9123785,3,2,71607,7959694,0,78293,8883145,0
1746869422.9123785,3,3,71526,8030371,0,78076,8834434,0
1746869422.9123785,3,4,72430,8083005,0,76948,8721518,0
1746869422.9123785,3,4294967294,0,0,0,0,0,0
1746869433.0857954,3,1,72741,8254510,0,84797,9548610,0
1746869433.0857954,3,2,76078,8443416,0,83198,9418615,0
1746869433.0857954,3,3,76067,8532483,0,82912,9365486,0
1746869433.0857954,3,4,77020,8591278,0,81741,9241282,0
1746869433.0857954,3,4294967294,0,0,0,0,0,0
1746869443.2419794,3,1,76854,8701691,0,89685,10080301,0
1746869443.2419794,3,2,80483,8908845,0,88057,9950441,0
1746869443.2419794,3,3,80642,9017088,0,87621,9876517,0
1746869443.2419794,3,4,81527,9062510,0,86401,9749304,0
1746869443.2419794,3,4294967294,0,0,0,0,0,0
1746869453.036266,3,1,80967,9149503,0,94503,10603934,0
1746869453.036266,3,2,84927,9378868,0,92866,10475789,0
1746869453.036266,3,3,85110,9495647,0,92342,10396214,0
1746869453.036266,3,4,85974,9535586,0,91092,10266492,0
1746869453.036266,3,4294967294,0,0,0,0,0,0
1746869463.4766064,3,1,85047,9593217,0,99325,11128117,0
1746869463.4766064,3,2,89458,9861297,0,97646,10997747,0
1746869463.4766064,3,3,89686,9981780,0,97087,10910151,0
1746869463.4766064,3,4,90487,10010672,0,95710,10767807,0
1746869463.4766064,3,4294967294,0,0,0,0,0,0
1746869473.2968218,3,1,89152,10041488,0,104243,11656438,0
1746869473.2968218,3,2,93929,10338440,0,102486,11520184,0
1746869473.2968218,3,3,94258,10465832,0,101794,11418274,0
1746869473.2968218,3,4,95020,10487298,0,100336,11274478,0
1746869473.2968218,3,4294967294,0,0,0,0,0,0
1746869482.4729557,3,1,93180,10478087,0,108992,12166396,0
1746869482.4729557,3,2,98224,10785889,0,107210,12028733,0
1746869482.4729557,3,3,98687,10931508,0,106402,11910923,0
1746869482.4729557,3,4,99422,10945062,0,104951,11769791,0
1746869482.4729557,3,4294967294,0,0,0,0,0,0
1746869491.0726626,3,1,97195,10920486,0,113765,12678511,0
1746869491.0726626,3,2,102659,11263418,0,111947,12539780,0
1746869491.0726626,3,3,103227,11425105,0,111057,12412575,0
1746869491.0726626,3,4,103872,11426733,0,109521,12263225,0
1746869491.0726626,3,4294967294,0,0,0,0,0,0
1746869505.1819751,3,1,101561,11383430,0,118779,13204522,0
1746869505.1819751,3,2,107379,11748907,0,116914,13064978,0
1746869505.1819751,3,3,107959,11915927,0,115952,12925869,0
1746869505.1819751,3,4,108525,11907988,0,114396,12779441,0
1746869505.1819751,3,4294967294,0,0,0,0,0,0
1746869546.0366216,3,1,106099,11874033,0,124235,13789943,0
1746869546.0366216,3,2,112329,12263148,0,122284,13645372,0
1746869546.0366216,3,3,112966,12439968,0,121289,13499523,0
1746869546.0366216,3,4,113571,12433538,0,119678,13355417,0
1746869546.0366216,3,4294967294,0,0,0,0,0,0
1746869571.7098389,3,1,161308,17323493,0,129615,14359401,0
1746869571.7098389,3,2,117339,12779084,0,127591,14212700,0
1746869571.7098389,3,3,117976,12960941,0,177157,19018422,0
1746869571.7098389,3,4,118695,12968895,0,124810,13902945,0
1746869571.7098389,3,4294967294,0,0,0,0,0,0
1746869591.7010722,3,1,498874,50442581,0,134914,14914540,0
1746869591.7010722,3,2,561867,44531104,0,132794,14760917,0
1746869591.7010722,3,3,123047,13483989,0,955000,83451483,0
1746869591.7010722,3,4,123616,13467097,0,129937,14442219,0
1746869591.7010722,3,4294967294,0,0,0,0,0,0
1746869602.8606489,3,1,644737,64763418,0,138273,15271032,0
1746869602.8606489,3,2,1069333,82286435,0,136174,15124058,0
1746869602.8606489,3,3,126304,13811598,0,1582689,134293410,0
1746869602.8606489,3,4,126840,13793262,0,156229,15764072,0
1746869602.8606489,3,4294967294,0,0,0,0,0,0
1746869602.8750536,3,1,737606,73881660,0,141011,15561887,0
1746869602.8750536,3,2,1290096,92842836,0,138846,15409044,0
1746869602.8750536,3,3,128707,14058167,0,1713329,146184592,0
1746869602.8750536,3,4,127276,13836297,0,340223,23670179,0
1746869602.8750536,3,4294967294,0,0,0,0,0,0
1746869613.2429936,3,1,783129,78359352,0,144685,15951632,0
1746869613.2429936,3,2,1803349,130244696,0,142534,15804770,0
1746869613.2429936,3,3,132041,14397807,0,2177850,184007514,0
1746869613.2429936,3,4,129832,14107697,0,436251,27942307,0
1746869613.2429936,3,4294967294,0,0,0,0,0,0
1746869880.3715644,3,1,2329,269353,0,2606,281605,0
1746869880.3715644,3,2,2355,269581,0,2602,281870,0
1746869880.3715644,3,3,2428,273086,0,2609,282418,0
1746869880.3715644,3,4,2404,274919,0,2590,279971,0
1746869880.3715644,3,4294967294,0,0,0,0,0,0
1746869907.9240794,3,1,7350,802128,0,8320,940986,0
1746869907.9240794,3,2,7401,804086,0,8290,940844,0
1746869907.9240794,3,3,7558,808124,0,8200,934033,0
1746869907.9240794,3,4,7556,814075,0,8213,932841,0
1746869907.9240794,3,4294967294,0,0,0,0,0,0
1746869918.1458359,3,1,12376,1381165,0,13971,1521279,0
1746869918.1458359,3,2,12419,1382376,0,13954,1521993,0
1746869918.1458359,3,3,12908,1406653,0,13868,1515284,0
1746869918.1458359,3,4,12679,1400091,0,13845,1512546,0
1746869918.1458359,3,4294967294,0,0,0,0,0,0
1746869926.9492426,3,1,17167,1918845,0,19374,2075017,0
1746869926.9492426,3,2,17233,1921492,0,19328,2074229,0
1746869926.9492426,3,3,17852,1962327,0,19204,2067799,0
1746869926.9492426,3,4,17631,1950669,0,19205,2064826,0
1746869926.9492426,3,4294967294,0,0,0,0,0,0
1746869937.381365,3,1,22188,2441298,0,25110,2726290,0
1746869937.381365,3,2,22290,2445320,0,25012,2718925,0
1746869937.381365,3,3,22932,2486320,0,24740,2705809,0
1746869937.381365,3,4,22759,2480695,0,24842,2707721,0
1746869937.381365,3,4294967294,0,0,0,0,0,0
1746869949.0599895,3,1,27221,2956264,0,31108,3407921,0
1746869949.0599895,3,2,27431,2962131,0,30787,3372369,0
1746869949.0599895,3,3,28215,3021703,0,30256,3334219,0
1746869949.0599895,3,4,27933,3003517,0,30542,3361226,0
1746869949.0599895,3,4294967294,0,0,0,0,0,0
1746869959.3070648,3,1,32136,3471574,0,36947,4021722,0
1746869959.3070648,3,2,32585,3508261,0,36525,3977016,0
1746869959.3070648,3,3,33576,3578930,0,35720,3908041,0
1746869959.3070648,3,4,33166,3565185,0,36156,3956545,0
1746869959.3070648,3,4294967294,0,0,0,0,0,0
1746869968.680772,3,1,36897,4024550,0,42670,4606133,0
1746869968.680772,3,2,37661,4088672,0,42182,4556432,0
1746869968.680772,3,3,39024,4167532,0,41218,4468600,0
1746869968.680772,3,4,38424,4157255,0,41748,4529319,0
1746869968.680772,3,4294967294,0,0,0,0,0,0
1746869978.0052373,3,1,41601,4550026,0,48165,5163098,0
1746869978.0052373,3,2,42537,4625285,0,47597,5104435,0
1746869978.0052373,3,3,44218,4719255,0,46552,5010557,0
1746869978.0052373,3,4,43481,4705250,0,47125,5073558,0
1746869978.0052373,3,4294967294,0,0,0,0,0,0
1746869989.0400417,3,1,46459,5052562,0,53932,5794686,0
1746869989.0400417,3,2,47612,5141905,0,53269,5723976,0
1746869989.0400417,3,3,49384,5237977,0,51965,5606862,0
1746869989.0400417,3,4,48598,5217886,0,52668,5676767,0
1746869989.0400417,3,4294967294,0,0,0,0,0,0
1746870000.4100053,3,1,51291,5544042,0,59521,6414278,0
1746870000.4100053,3,2,52473,5624337,0,58853,6347687,0
1746870000.4100053,3,3,54349,5727428,0,57310,6213327,0
1746870000.4100053,3,4,53590,5708449,0,58080,6284133,0
1746870000.4100053,3,4294967294,0,0,0,0,0,0
1746870011.4214518,3,1,56020,6028013,0,65100,6993862,0
1746870011.4214518,3,2,57348,6111878,0,64288,6914308,0
1746870011.4214518,3,3,59319,6218811,0,62597,6768712,0
1746870011.4214518,3,4,58561,6205552,0,63387,6844727,0
1746870011.4214518,3,4294967294,0,0,0,0,0,0
1746870021.0684912,3,1,60591,6527067,0,70547,7534486,0
1746870021.0684912,3,2,62192,6629709,0,69678,7453870,0
1746870021.0684912,3,3,64476,6753420,0,67803,7290647,0
1746870021.0684912,3,4,63548,6742065,0,68652,7375087,0
1746870021.0684912,3,4294967294,0,0,0,0,0,0
1746870031.5071685,3,1,65128,7027609,0,75791,8055688,0
1746870031.5071685,3,2,66822,7124480,0,74909,7977049,0
1746870031.5071685,3,3,69445,7276160,0,72871,7798312,0
1746870031.5071685,3,4,68346,7249059,0,73810,7891955,0
1746870031.5071685,3,4294967294,0,0,0,0,0,0
1746870041.9011426,3,1,69568,7482887,0,80996,8578517,0
1746870041.9011426,3,2,71599,7598935,0,80056,8501573,0
1746870041.9011426,3,3,74303,7759455,0,77898,8307602,0
1746870041.9011426,3,4,73197,7726788,0,78860,8401342,0
1746870041.9011426,3,4294967294,0,0,0,0,0,0
1746870053.070722,3,1,74041,7928093,0,86186,9127272,0
1746870053.070722,3,2,76270,8054624,0,85155,9046258,0
1746870053.070722,3,3,78976,8217412,0,82849,8841549,0
1746870053.070722,3,4,77980,8193848,0,83868,8933117,0
1746870053.070722,3,4294967294,0,0,0,0,0,0
1746870063.6834989,3,1,78354,8357720,0,91134,9644640,0
1746870063.6834989,3,2,80697,8488926,0,90105,9571686,0
